#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
k29_2663133_2        -            239 Ribosomal_L3         PF00297.17   263   3.8e-40  133.6   3.3   1   1   6.1e-43   4.6e-40  133.4   3.3     1   262     9   231     9   232 0.88 # 248 # 964 # -1 # ID=9_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524
k29_2663133_1        -             67 Ribosomal_L4         PF00573.17   192   7.6e-14   47.3   0.1   1   1   1.1e-16   8.2e-14   47.2   0.1    11    52    26    67    17    67 0.95 # 3 # 203 # -1 # ID=9_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.493
k29_1959048_3        -            457 IF-2                 PF11987.3    109   6.2e-36  118.4   0.8   1   2     0.077        58   -0.6   0.1    44    77    20    56     6    69 0.64 # 1268 # 2638 # -1 # ID=15_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.500
k29_1959048_3        -            457 IF-2                 PF11987.3    109   6.2e-36  118.4   0.8   2   2   8.3e-39   6.2e-36  118.4   0.8    13   108   251   346   235   347 0.95 # 1268 # 2638 # -1 # ID=15_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.500
k29_764555_2         -            810 TIGR00422            TIGR00422    863   1.1e-38  128.1   8.5   1   5   7.6e-05     0.029    7.7   0.0   164   191    49    76    29    93 0.77 # 507 # 2936 # -1 # ID=70_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
k29_764555_2         -            810 TIGR00422            TIGR00422    863   1.1e-38  128.1   8.5   2   5   0.00019      0.07    6.4   0.1   209   240   160   191   151   197 0.82 # 507 # 2936 # -1 # ID=70_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
k29_764555_2         -            810 TIGR00422            TIGR00422    863   1.1e-38  128.1   8.5   3   5   4.6e-12   1.7e-09   31.6   0.0   240   330   226   335   217   343 0.87 # 507 # 2936 # -1 # ID=70_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
k29_764555_2         -            810 TIGR00422            TIGR00422    863   1.1e-38  128.1   8.5   4   5   8.8e-06    0.0033   10.8   0.1   397   417   343   363   338   511 0.83 # 507 # 2936 # -1 # ID=70_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
k29_764555_2         -            810 TIGR00422            TIGR00422    863   1.1e-38  128.1   8.5   5   5   8.5e-23   3.2e-20   67.1   0.2   523   727   574   749   568   800 0.79 # 507 # 2936 # -1 # ID=70_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
k29_269533_2         -            660 TIGR00422            TIGR00422    863   0.00017   15.1   0.0   1   1   8.2e-07   0.00031   14.2   0.0    27    74   111   158    89   164 0.87 # 1029 # 3008 # -1 # ID=132_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.481
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /scratch/9370461/ec80d2eb-4ade-4e43-94fb-b0dafe49e72e
# Target file:     /home/maal9346/genome_analysis/5_binning_evaluation/checkm/bins/bin_.4/genes.faa
# Option settings: hmmsearch --domtblout /home/maal9346/genome_analysis/5_binning_evaluation/checkm/bins/bin_.4/hmmer.tree.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 2 /scratch/9370461/ec80d2eb-4ade-4e43-94fb-b0dafe49e72e /home/maal9346/genome_analysis/5_binning_evaluation/checkm/bins/bin_.4/genes.faa 
# Current dir:     /domus/h1/maal9346/genome_analysis/5_binning_evaluation
# Date:            Sun Apr 28 18:45:20 2024
# [ok]
